 (6889)
the (1119)
to (677)
covid (624)
of (610)
19 (547)
in (519)
and (460)
a (430)
#covid19 (346)
for (302)
is (289)
s (263)
it (204)
on (191)
that (181)
cases (180)
with (178)
are (176)
from (172)
new (172)
you (156)
i (151)
this (151)
omicron (140)
coronavirus (140)
as (139)
be (135)
have (130)
at (126)
not (124)
has (114)
t (113)
vaccine (105)
we (105)
variant (104)
more (100)
people (99)
by (95)
or (94)
who (90)
#omicron (88)
they (85)
will (85)
but (84)
so (81)
india (80)
amp (78)
pandemic (76)
all (74)
covid19 (73)
about (72)
how (70)
what (66)
deaths (65)
our (63)
if (63)
your (63)
#covid (62)
health (61)
#coronavirus (60)
no (60)
an (59)
positive (59)
us (58)
can (58)
vaccinated (56)
been (55)
get (55)
their (55)
up (54)
was (53)
last (52)
now (51)
vaccines (50)
