 (6875)
the (1118)
to (721)
covid (718)
19 (651)
of (580)
and (565)
in (506)
a (485)
for (403)
is (328)
#covid19 (309)
s (279)
it (252)
on (222)
you (222)
i (211)
are (205)
cases (195)
that (190)
this (184)
from (183)
with (175)
we (151)
t (150)
as (144)
vaccine (142)
have (142)
not (142)
at (139)
coronavirus (136)
be (132)
by (129)
new (119)
more (117)
people (111)
get (108)
all (104)
will (102)
omicron (102)
amp (101)
has (100)
india (99)
deaths (97)
but (89)
they (88)
about (88)
my (81)
can (81)
your (81)
he (80)
or (77)
covid19 (76)
positive (74)
was (74)
so (73)
our (73)
vaccinated (73)
no (72)
after (71)
if (70)
us (70)
health (69)
over (68)
who (68)
president (67)
their (66)
#coronavirus (66)
than (64)
2021 (63)
#covid (62)
now (61)
variant (61)
what (61)
#omicron (59)
up (59)
vaccines (59)
12 (58)
just (57)
last (56)
south (56)
one (56)
vaccination (56)
pandemic (55)
been (55)
don (53)
test (53)
how (53)
via (53)
booster (52)
2 (51)
time (51)
against (50)
