 (5948)
the (1048)
to (589)
covid (525)
of (510)
19 (453)
in (431)
and (376)
a (341)
is (292)
for (267)
#covid19 (258)
s (214)
it (210)
with (169)
that (164)
you (164)
on (153)
from (151)
are (148)
new (140)
omicron (136)
this (135)
has (118)
i (114)
cases (113)
variant (110)
at (108)
as (107)
have (105)
be (103)
people (102)
t (102)
by (100)
coronavirus (98)
not (96)
we (92)
who (92)
more (87)
vaccine (78)
amp (77)
what (74)
they (72)
will (70)
your (69)
#omicron (68)
all (66)
about (65)
pandemic (64)
covid19 (61)
an (57)
if (57)
but (57)
now (55)
health (55)
can (54)
no (54)
get (54)
south (53)
first (52)
been (52)
so (50)
us (50)
deaths (50)
