to (518)
covid (412)
of (395)
19 (370)
19 covid (297)
for (271)
#covid19 (270)
in (266)
i (256)
is (243)
are (238)
you (197)
this (193)
on (153)
to 19 (135)
to covid (134)
to of (133)
at (132)
it (131)
with (126)
that (125)
from (124)
covid of (123)
19 of (111)
to covid 19 (111)
have (101)
19 covid of (98)
we (97)
not (97)
be (93)
in to (92)
they (89)
1 (88)
#coronavirus (87)
who (86)
to is (86)
#covid (85)
can (84)
in covid (84)
to #covid19 (83)
new (82)
in of (82)
about (80)
how (79)
has (79)
coronavirus (79)
people (78)
cases (78)
2022 (78)
in 19 (78)
for covid (77)
by (76)
your (75)
amp (75)
as (74)
you are (74)
this i (74)
this you (74)
in covid 19 (71)
he (70)
but (70)
more (69)
was (69)
to are (68)
of is (68)
for are (67)
this are (67)
to from (66)
for i (66)
you i (65)
