to (570)
covid (479)
19 (465)
of (395)
19 covid (368)
in (301)
for (231)
#covid19 (219)
is (214)
to covid (172)
19 to (172)
this (152)
are (147)
on (143)
19 covid to (142)
i (137)
cases (135)
to of (127)
you (125)
as (119)
in 19 (119)
19 of (118)
that (117)
in covid (117)
covid of (117)
it (116)
be (108)
vaccine (108)
have (107)
for covid (107)
has (106)
19 covid of (103)
19 for (102)
in covid 19 (101)
amp (100)
they (99)
in to (98)
not (95)
people (94)
coronavirus (91)
at (90)
19 covid for (90)
with (89)
more (89)
new (88)
to #covid19 (87)
from (86)
in of (81)
will (80)
for to (78)
we (75)
omicron (74)
to is (72)
if (71)
all (71)
covid cases (71)
get (69)
covid on (67)
to be (67)
positive (66)
19 cases (66)
19 on (66)
so (65)
