to (668)
covid (628)
19 (569)
of (494)
19 covid (471)
in (381)
for (323)
is (293)
#covid19 (254)
i (215)
to 19 (215)
to covid (210)
you (207)
this (206)
are (202)
cases (198)
on (181)
that (175)
to covid 19 (175)
it (172)
covid of (171)
to of (166)
new (160)
from (154)
we (154)
for covid (149)
19 of (149)
with (143)
have (143)
for 19 (131)
19 covid of (130)
as (126)
in covid (124)
amp (123)
they (122)
vaccine (120)
for covid 19 (118)
in of (115)
to for (114)
coronavirus (112)
not (111)
be (111)
in 19 (111)
in to (109)
has (104)
people (104)
at (103)
to is (102)
in #covid19 (96)
all (95)
by (95)
covid cases (95)
will (94)
in covid 19 (94)
more (93)
no (91)
omicron (91)
to are (90)
to #covid19 (87)
of is (85)
19 cases (85)
to on (84)
if (81)
19 covid cases (80)
but (79)
to this (79)
covid is (79)
who (77)
your (76)
to covid of (76)
so (75)
on of (75)
covid new (74)
19 vaccine (74)
to it (72)
for of (72)
19 new (72)
to of 19 (72)
to that (71)
get (70)
deaths (70)
in cases (70)
cases new (69)
covid on (69)
19 covid new (69)
of #covid19 (68)
to you (67)
of are (67)
19 on (67)
now (66)
to have (66)
this is (66)
19 is (65)
