to (692)
covid (645)
19 (622)
19 covid (515)
of (459)
in (391)
is (327)
for (288)
this (258)
i (244)
to 19 (241)
to covid (236)
#covid19 (220)
to covid 19 (205)
you (196)
in covid (189)
19 in (189)
are (184)
19 covid in (174)
covid of (173)
19 of (170)
to of (168)
cases (167)
on (166)
with (158)
that (150)
it (149)
19 covid of (146)
to in (141)
for covid (134)
be (132)
new (131)
more (129)
not (125)
for 19 (122)
by (120)
we (119)
have (118)
as (118)
at (117)
from (115)
covid cases (115)
can (108)
amp (108)
19 cases (108)
for covid 19 (106)
19 covid cases (105)
for to (104)
will (103)
to is (99)
in of (98)
to this (96)
get (92)
people (92)
19 new (92)
covid new (91)
they (90)
has (90)
19 covid new (89)
all (87)
but (86)
this is (86)
if (83)
to i (83)
covid with (83)
to are (82)
in cases (81)
or (79)
covid more (78)
covid is (78)
to of 19 (78)
19 more (77)
to covid of (77)
to covid in (76)
so (75)
to that (74)
to in 19 (74)
of is (73)
cases new (73)
19 covid more (73)
up (72)
for of (72)
to on (72)
to it (72)
covid on (72)
who (71)
to be (71)
to you (71)
19 is (70)
in new (69)
your (68)
my (68)
19 with (68)
19 on (68)
in covid cases (68)
their (67)
no (67)
19 in cases (67)
to covid in 19 (67)
19 covid in cases (67)
vaccine (66)
to with (66)
19 covid with (66)
to covid of 19 (66)
he (65)
coronavirus (65)
to #covid19 (65)
