covid (564)
19 (527)
to (522)
of (452)
19 covid (422)
in (309)
for (248)
get (244)
#covid19 (238)
is (231)
well (229)
soon (217)
well get (204)
covid of (201)
get soon (200)
well soon (196)
19 of (194)
well get soon (194)
on (192)
i (185)
19 covid of (179)
to covid (175)
to 19 (169)
are (164)
you (151)
that (145)
new (143)
to covid 19 (143)
this (140)
to of (137)
in covid (133)
people (131)
cases (131)
from (128)
it (128)
19 in (128)
one (121)
19 covid in (118)
to in (112)
vaccine (111)
my (110)
19 on (107)
they (106)
with (105)
on of (102)
covid on (100)
for covid (96)
we (95)
in of (94)
19 covid on (93)
have (92)
no (91)
19 new (91)
to is (90)
for 19 (90)
not (89)
at (89)
19 vaccine (89)
be (87)
has (87)
to #covid19 (85)
to for (84)
as (83)
covid new (83)
covid vaccine (81)
19 covid new (81)
some (80)
coronavirus (79)
covid people (79)
19 people (79)
19 covid vaccine (79)
of people (78)
deaths (76)
19 covid people (75)
covid of on (74)
of vaccine (70)
for covid 19 (70)
amp (69)
of new (69)
by (68)
to it (68)
of is (67)
19 cases (67)
19 on of (67)
19 covid of on (67)
will (66)
of #covid19 (66)
to are (65)
