to (766)
19 (453)
covid (445)
in (358)
19 covid (351)
of (342)
you (323)
are (296)
#covid19 (295)
this (241)
is (240)
for (237)
your (191)
to 19 (171)
in to (166)
more (163)
to covid (161)
this to (153)
to #covid19 (153)
it (149)
i (146)
to are (141)
that (140)
in #covid19 (136)
to 19 covid (136)
cases (132)
you to (132)
on (130)
to more (124)
to of (121)
get (120)
in covid (117)
for covid (115)
with (112)
covid of (112)
in this (111)
you are (109)
in 19 (109)
19 of (107)
you this (105)
in are (104)
as (103)
#covid19 are (103)
you in (101)
you to are (100)
in 19 covid (100)
for 19 (98)
be (97)
to get (97)
in to this (96)
from (95)
has (95)
this are (95)
19 covid of (95)
we (94)
to your (94)
you your (94)
new (93)
in more (93)
for 19 covid (93)
in to #covid19 (92)
amp (91)
is to (91)
you #covid19 (91)
to #covid19 are (91)
this #covid19 (90)
out (89)
in to are (89)
you to this (88)
have (87)
to for (87)
in your (87)
at (85)
you get (84)
in of (84)
this to are (84)
#covid19 more (83)
you to your (83)
you to in (83)
to out (82)
your are (82)
more are (82)
this to #covid19 (82)
get are (81)
this more (81)
to your are (81)
in to more (81)
you your in (81)
you in are (81)
you this are (81)
people (80)
this get (80)
you to #covid19 (80)
you this in (80)
