to (607)
covid (605)
19 (581)
in (507)
of (461)
19 covid (451)
#covid19 (251)
is (250)
for (231)
to covid (197)
from (187)
in covid (187)
this (183)
19 in (183)
19 to (181)
have (173)
19 covid to (167)
i (166)
19 covid in (165)
it (164)
to in (161)
are (157)
cases (156)
on (154)
camps (154)
covid of (153)
you (151)
that (145)
19 of (144)
at (138)
to of (129)
be (128)
as (125)
in of (123)
19 covid of (123)
about (116)
deaths (112)
we (105)
covid from (104)
will (103)
with (103)
omicron (103)
have covid (99)
in from (99)
has (98)
in have (98)
not (97)
more (95)
19 from (95)
to have (94)
to from (92)
coronavirus (91)
of #covid19 (91)
to covid in (91)
for covid (90)
19 covid from (89)
people (88)
new (88)
19 have (87)
19 for (87)
19 in to (87)
to is (86)
19 have covid (86)
to for (84)
they (83)
in about (83)
19 covid in to (82)
all (81)
to #covid19 (81)
died (80)
due (80)
variant (80)
covid at (80)
19 at (79)
have from (78)
covid deaths (78)
the (77)
covid cases (77)
in #covid19 (77)
to due (76)
of is (76)
19 covid for (76)
19 covid at (75)
amp (74)
have about (74)
of from (73)
was (72)
have died (72)
19 deaths (72)
to be (72)
have of (71)
died from (71)
19 cases (71)
to at (71)
by (70)
about from (70)
to have covid (70)
for in (69)
have from died (69)
19 covid cases (69)
in at (68)
in have from (68)
to covid from (68)
in about from (68)
19 covid deaths (68)
but (67)
200 (67)
covid due (67)
to it (67)
to about (67)
in 200 (67)
how (66)
in died (66)
to this (66)
have about from (66)
in have about (66)
in died from (66)
to covid due (66)
#dec15coup (65)
#whatshappeninginmyanmar (65)
died about (65)
died 200 (65)
died camps (65)
#dec15coup died (65)
died #whatshappeninginmyanmar (65)
200 from (65)
camps from (65)
#dec15coup from (65)
#whatshappeninginmyanmar from (65)
in camps (65)
in #dec15coup (65)
in #whatshappeninginmyanmar (65)
about 200 (65)
about camps (65)
#dec15coup about (65)
#whatshappeninginmyanmar about (65)
200 camps (65)
#dec15coup 200 (65)
#whatshappeninginmyanmar 200 (65)
#dec15coup camps (65)
#whatshappeninginmyanmar camps (65)
