to (596)
covid (516)
of (488)
19 (478)
19 covid (404)
in (345)
is (266)
for (259)
#covid19 (259)
this (221)
on (206)
it (202)
you (190)
covid of (190)
are (181)
19 of (178)
with (166)
19 covid of (164)
i (163)
cases (160)
to covid (160)
to 19 (156)
to of (150)
that (149)
to covid 19 (135)
in covid (134)
coronavirus (129)
19 in (123)
19 covid in (116)
to in (114)
on covid (112)
19 on (110)
be (109)
your (108)
for covid (108)
has (104)
from (104)
19 on covid (104)
not (103)
who (102)
to for (102)
in of (102)
to is (101)
have (97)
on of (97)
we (93)
at (93)
19 for (90)
to #covid19 (89)
they (85)
of is (85)
will (84)
as (84)
covid cases (83)
amp (81)
more (81)
of it (81)
for of (80)
19 covid for (79)
30k (78)
all (76)
pandemic (76)
new (75)
one (75)
tests (75)
by (74)
people (74)
should (74)
covid is (74)
on of covid (74)
to are (73)
but (72)
vaccine (72)
to this (72)
covid you (72)
19 you (72)
of #covid19 (72)
19 on of (72)
you of (71)
to on (70)
of are (70)
19 on of covid (70)
to be (69)
covid it (68)
19 cases (68)
you it (68)
was (66)
19 it (66)
in #covid19 (66)
to covid of (66)
19 covid cases (66)
19 covid you (66)
