to (673)
covid (630)
19 (599)
of (506)
19 covid (496)
in (387)
#covid19 (352)
for (297)
is (252)
to 19 (221)
on (211)
this (210)
to covid (210)
you (205)
covid of (202)
19 of (201)
cases (192)
to covid 19 (184)
are (178)
it (178)
19 covid of (176)
19 in (173)
i (168)
that (167)
in covid (167)
to of (166)
19 covid in (151)
with (149)
new (140)
by (134)
we (134)
to in (129)
have (127)
for covid (126)
from (124)
in of (124)
at (115)
to #covid19 (114)
be (109)
they (109)
19 for (108)
vaccine (107)
not (107)
to for (107)
coronavirus (106)
amp (101)
has (100)
health (99)
your (99)
to is (97)
19 on (97)
as (96)
19 covid for (96)
more (92)
on covid (91)
people (90)
to of 19 (89)
covid cases (88)
will (87)
19 on covid (85)
in #covid19 (84)
to covid of (84)
us (83)
who (81)
omicron (81)
but (80)
to on (80)
to it (80)
to this (79)
for of (78)
of #covid19 (78)
the (76)
deaths (75)
2021 (75)
to that (75)
cases new (75)
to covid of 19 (75)
of is (74)
variant (73)
19 in of (73)
in covid of (73)
what (72)
all (72)
19 cases (71)
covid is (71)
for #covid19 (70)
so (69)
to with (69)
#covid19 cases (68)
to have (67)
covid that (67)
pandemic (66)
to you (66)
covid are (66)
covid new (66)
19 covid cases (66)
19 covid in of (66)
now (65)
our (65)
covid with (65)
covid from (65)
of that (65)
