to (758)
covid (668)
19 (632)
19 covid (514)
of (504)
in (451)
for (285)
is (280)
#covid19 (272)
to 19 (238)
to covid (232)
are (213)
cases (212)
this (211)
to covid 19 (202)
you (201)
in covid (197)
i (196)
on (190)
in 19 (185)
19 of (182)
covid of (178)
in to (173)
that (170)
to of (168)
in covid 19 (163)
new (153)
with (152)
19 covid of (152)
it (151)
at (146)
not (143)
we (141)
more (140)
have (139)
from (139)
as (128)
in of (122)
be (119)
for covid (116)
amp (115)
all (115)
covid cases (114)
has (110)
to is (108)
19 cases (105)
to #covid19 (104)
for 19 (103)
by (102)
to for (102)
vaccine (99)
your (97)
deaths (95)
19 covid cases (94)
they (93)
of is (93)
people (91)
will (89)
no (89)
in covid to (88)
for covid 19 (88)
so (87)
to this (86)
coronavirus (85)
to are (85)
in 19 to (84)
of #covid19 (83)
to with (83)
who (81)
to of 19 (79)
or (78)
but (78)
our (78)
for of (78)
to i (78)
was (77)
covid new (77)
in covid 19 to (76)
to covid of (75)
omicron (74)
what (73)
vaccines (72)
19 on (72)
in is (72)
in cases (71)
to not (71)
to we (71)
19 new (70)
of are (70)
to have (70)
this is (69)
covid is (68)
covid from (68)
to covid of 19 (68)
in for (67)
to you (67)
to be (67)
on covid (66)
to on (66)
19 is (66)
this of (65)
in #covid19 (65)
19 with (65)
19 covid new (65)
