to (572)
covid (541)
19 (485)
19 covid (415)
of (395)
in (360)
#covid19 (345)
for (244)
is (244)
are (178)
to covid (178)
this (171)
cases (170)
19 to (168)
19 covid to (150)
you (149)
it (149)
to of (146)
on (144)
in covid (143)
with (140)
covid of (136)
19 of (134)
19 in (133)
that (128)
to #covid19 (127)
19 covid in (127)
19 covid of (121)
new (116)
i (115)
at (109)
as (109)
we (109)
have (109)
in to (103)
has (100)
for covid (98)
from (96)
to is (93)
be (92)
not (88)
covid cases (88)
people (84)
in #covid19 (84)
for to (84)
in of (82)
by (81)
of #covid19 (81)
more (80)
to are (79)
for #covid19 (76)
they (75)
19 for (75)
to this (75)
of is (74)
india (73)
to with (71)
19 cases (69)
to it (69)
19 covid for (68)
but (67)
amp (67)
covid with (67)
covid is (67)
covid new (66)
covid #covid19 (65)
19 new (65)
19 covid cases (65)
