to (580)
covid (514)
19 (502)
of (438)
19 covid (424)
in (318)
#covid19 (270)
for (264)
is (240)
that (186)
on (181)
you (167)
to covid (167)
to 19 (167)
i (159)
this (147)
to of (144)
to covid 19 (141)
are (139)
it (132)
covid of (132)
19 of (129)
with (119)
new (118)
cases (118)
19 covid of (115)
in covid (108)
we (107)
not (106)
from (106)
for covid (106)
to that (103)
have (102)
19 for (102)
to in (101)
in 19 (99)
at (98)
they (97)
19 covid for (95)
has (94)
amp (92)
coronavirus (91)
will (91)
be (90)
in covid 19 (90)
vaccine (88)
in of (87)
to is (87)
as (86)
more (84)
of #covid19 (82)
to #covid19 (80)
people (79)
to on (77)
after (74)
so (73)
who (72)
get (72)
for of (72)
of is (72)
of that (70)
to for (70)
but (69)
about (69)
india (69)
19 on (69)
covid that (69)
spotify (68)
all (67)
to it (66)
