to (521)
covid (405)
of (388)
19 (368)
in (326)
19 covid (295)
is (239)
i (208)
#covid19 (193)
this (193)
for (192)
you (188)
are (170)
that (158)
on (153)
it (138)
to covid (137)
cases (134)
in to (125)
covid of (124)
to 19 (124)
to of (120)
not (116)
19 of (113)
in covid (112)
in 19 (111)
have (110)
they (109)
with (109)
be (105)
to covid 19 (100)
we (99)
from (99)
19 covid of (96)
new (95)
in covid 19 (94)
in of (93)
as (91)
amp (90)
at (89)
to is (87)
has (77)
of #covid19 (77)
all (76)
people (75)
to that (74)
to #covid19 (72)
to this (72)
will (71)
to for (71)
just (70)
to on (70)
he (68)
but (68)
more (68)
coronavirus (67)
to be (67)
if (66)
this is (66)
for covid (65)
