to (515)
covid (451)
19 (439)
of (389)
19 covid (350)
in (317)
#covid19 (242)
is (239)
for (227)
it (162)
to 19 (160)
you (156)
to covid (148)
with (136)
to covid 19 (134)
that (133)
are (133)
from (132)
19 of (132)
this (128)
on (127)
to of (126)
covid of (126)
in covid (117)
19 covid of (113)
i (108)
in 19 (108)
new (107)
has (106)
omicron (106)
cases (103)
variant (100)
to in (95)
in covid 19 (95)
people (94)
have (94)
be (91)
we (89)
at (89)
to #covid19 (88)
who (85)
not (84)
by (83)
to for (82)
for covid (82)
more (80)
as (79)
to is (78)
in #covid19 (78)
in of (78)
coronavirus (73)
for 19 (72)
amp (71)
to it (71)
the (70)
vaccine (69)
of #covid19 (68)
will (67)
#omicron (66)
they (66)
