to (735)
covid (643)
19 (598)
of (504)
19 covid (493)
in (443)
#covid19 (343)
is (294)
for (291)
to covid (234)
on (227)
19 to (221)
19 covid to (201)
to of (199)
this (196)
in covid (192)
you (181)
19 in (181)
are (176)
cases (169)
covid of (164)
19 of (164)
19 covid in (161)
that (160)
in to (159)
be (156)
19 covid of (146)
it (143)
to #covid19 (143)
i (141)
amp (139)
with (135)
at (130)
have (130)
in of (126)
for covid (121)
from (119)
to on (116)
new (115)
to is (113)
not (112)
19 for (112)
your (111)
of #covid19 (111)
to for (107)
coronavirus (101)
in #covid19 (98)
more (97)
19 covid for (95)
people (94)
as (93)
to be (93)
has (91)
covid cases (90)
by (89)
19 cases (88)
19 of to (88)
than (87)
to covid of (87)
all (86)
we (86)
in for (86)
19 on (85)
19 covid cases (85)
vaccine (84)
in is (84)
us (83)
covid on (82)
to have (82)
on of (81)
to are (81)
in covid to (80)
covid is (79)
on #covid19 (79)
to that (79)
will (78)
pandemic (78)
19 is (78)
19 in to (78)
19 covid of to (77)
they (76)
of is (76)
to this (76)
but (75)
19 covid on (75)
for of (74)
19 in of (74)
one (73)
in covid of (73)
deaths (72)
covid are (72)
19 covid in to (70)
who (69)
to of #covid19 (69)
19 new (68)
covid from (68)
have of (68)
no (67)
covid new (66)
covid that (66)
of be (66)
to with (66)
19 covid in of (66)
2 (65)
get (65)
in of to (65)
