to (641)
covid (543)
of (477)
19 (437)
in (428)
19 covid (360)
is (290)
#covid19 (257)
for (226)
are (218)
this (206)
cases (201)
to covid (191)
covid of (182)
that (169)
to of (164)
you (158)
in covid (157)
it (153)
to 19 (153)
i (152)
to in (151)
on (143)
with (135)
19 of (132)
to covid 19 (132)
in of (127)
we (126)
19 covid of (124)
in 19 (122)
to is (116)
new (112)
have (108)
covid cases (108)
in covid 19 (108)
not (105)
from (102)
in cases (102)
they (100)
be (95)
to #covid19 (93)
so (92)
this to (91)
health (89)
to are (89)
as (87)
will (86)
at (86)
of is (86)
to covid of (86)
for covid (85)
amp (84)
people (82)
19 cases (82)
in #covid19 (80)
to for (80)
of cases (79)
19 covid cases (79)
of #covid19 (78)
of are (78)
covid is (76)
deaths (75)
has (74)
to covid in (72)
if (71)
to that (71)
but (70)
this of (70)
in covid of (70)
for of (68)
in covid cases (68)
more (67)
no (67)
to cases (67)
to it (67)
in is (67)
19 for (67)
to of in (67)
who (66)
india (66)
