to (661)
covid (551)
19 (477)
of (442)
19 covid (406)
in (382)
#covid19 (288)
is (282)
for (272)
cases (217)
to covid (208)
19 to (195)
this (188)
i (187)
you (179)
19 covid to (173)
on (164)
to of (163)
that (154)
in covid (150)
are (149)
it (143)
covid of (142)
19 in (141)
in to (137)
we (134)
be (127)
with (127)
19 of (127)
19 covid in (126)
to is (122)
as (121)
to #covid19 (120)
for covid (116)
covid cases (114)
from (111)
not (109)
19 covid of (109)
new (106)
have (104)
to for (104)
has (103)
19 for (101)
in of (99)
19 cases (99)
at (93)
of #covid19 (92)
19 covid for (92)
19 covid cases (91)
covid is (90)
amp (89)
but (87)
people (84)
in #covid19 (84)
in cases (81)
to that (81)
they (80)
more (78)
what (77)
so (77)
by (77)
of is (77)
to on (76)
of cases (74)
to this (73)
coronavirus (70)
will (70)
covid on (70)
to cases (70)
19 is (69)
to are (68)
to covid of (68)
for of (67)
to it (67)
19 of to (67)
omicron (66)
can (66)
to you (66)
19 covid is (66)
as covid (65)
to be (65)
to i (65)
19 in to (65)
